audio_path,reference,whisper_text,seamless_m4t_text,wav2vec2_text,whisper_wer,whisper_cer,seamless_m4t_wer,seamless_m4t_cer,wav2vec2_wer,wav2vec2_cer,error
/content/2/cv-other-test/cv-other-test/sample-000000.mp3,you killed all three of them for nothing, you killed all three of them for nothing.,you killed all three of them for nothing.,you kiled al thre of them for nothing,0.125,0.025,0.125,0.025,0.375,0.075,
/content/2/cv-other-test/cv-other-test/sample-000001.mp3,will it be warmer in montana, will it be warmer montana?,will it be warmer montana?,wil it be warmer montano,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.5,0.17857142857142858,
/content/2/cv-other-test/cv-other-test/sample-000002.mp3,science has been arguing about the zoological classification of the species for decades, science has been arguing about the zoological classification of the species for decades.,science has been arguing about the zoological classification of the species for decades.,science has ben arguing about the zological clasification of the species for decades,0.07692307692307693,0.011494252873563218,0.07692307692307693,0.011494252873563218,0.23076923076923078,0.034482758620689655,
/content/2/cv-other-test/cv-other-test/sample-000003.mp3,he wasn't asking for help, he won't ask him for help.,he wasn't asking for help.,he wasn't ask in for him,0.8,0.28,0.2,0.04,0.6,0.2,
/content/2/cv-other-test/cv-other-test/sample-000004.mp3,but he granted the travelers three days, but he granted the travelers three days.,but he granted the travellers three days.,but he granted the travelers thre days,0.14285714285714285,0.02564102564102564,0.2857142857142857,0.05128205128205128,0.14285714285714285,0.02564102564102564,
/content/2/cv-other-test/cv-other-test/sample-000005.mp3,pull this lever to activate the piston, pull this lever to activate the piston.,hold this lever to activate the piston.,hold this lever to activate the piston,0.14285714285714285,0.02631578947368421,0.2857142857142857,0.10526315789473684,0.14285714285714285,0.07894736842105263,
/content/2/cv-other-test/cv-other-test/sample-000006.mp3,she likes you, i like you.,she likes you.,she likes you,1.0,0.38461538461538464,0.3333333333333333,0.07692307692307693,0.0,0.0,
/content/2/cv-other-test/cv-other-test/sample-000007.mp3,they'll believe him, well-believe him.,they'll believe him.,theyl believe him,1.0,0.3157894736842105,0.3333333333333333,0.05263157894736842,0.3333333333333333,0.10526315789473684,
/content/2/cv-other-test/cv-other-test/sample-000008.mp3,she went over to the hospital to call on professor davis, she went over to the hospital to call on professor davis.,she went over to the hospital to visit on professor davis.,she went over to the hospital to cal on profesor davies,0.09090909090909091,0.017857142857142856,0.18181818181818182,0.10714285714285714,0.2727272727272727,0.05357142857142857,
/content/2/cv-other-test/cv-other-test/sample-000009.mp3,there are a lot of seats over there, there are a lot of seats over there.,there's a lot of seats over there.,there a lot of seats arevre rare,0.125,0.02857142857142857,0.375,0.14285714285714285,0.375,0.3142857142857143,
/content/2/cv-other-test/cv-other-test/sample-000010.mp3,my password has been changed without permission, my password has been changed without permission.,my password has been changed without permission.,my pasword has ben changed without permision,0.14285714285714285,0.02127659574468085,0.14285714285714285,0.02127659574468085,0.42857142857142855,0.06382978723404255,
/content/2/cv-other-test/cv-other-test/sample-000011.mp3,and you can meet us at the station, and you can meet us at the station.,and you can meet us at the station.,and you can met us at the station,0.125,0.029411764705882353,0.125,0.029411764705882353,0.125,0.029411764705882353,
/content/2/cv-other-test/cv-other-test/sample-000012.mp3,we speak of them only to children,,i'm going to take a look at the video.,e,1.0,1.0,1.2857142857142858,0.8484848484848485,1.0,0.9696969696969697,
/content/2/cv-other-test/cv-other-test/sample-000013.mp3,as a workaround we could use application specific profiles," as a workaround, we could use application specific profiles.","as a workaround, we could use application specific profiles.",as a work around we could use aplication specific profiles,0.2222222222222222,0.034482758620689655,0.2222222222222222,0.034482758620689655,0.3333333333333333,0.034482758620689655,
/content/2/cv-other-test/cv-other-test/sample-000014.mp3,but i found it difficult to get to work because of the investigations, yeah okay look at all these plants,i found it very difficult to get to work at the investigations.,te filmen have a devenovet radcustan investigations,1.0,0.7681159420289855,0.38461538461538464,0.2753623188405797,0.9230769230769231,0.6086956521739131,
/content/2/cv-other-test/cv-other-test/sample-000015.mp3,what're you trying to do, what are you trying to do?,what are you trying to do?,what are you trying to do,0.6,0.125,0.6,0.125,0.4,0.08333333333333333,
/content/2/cv-other-test/cv-other-test/sample-000016.mp3,the rest of you get in here and riot,,i'm going to take a look at the weather forecast.,e eo oe eore,1.0,1.0,1.1111111111111112,1.0277777777777777,1.0,0.7222222222222222,
/content/2/cv-other-test/cv-other-test/sample-000017.mp3,there is no universal definition of intelligence but everyone agrees that the ability of learning belongs to it," there is no universal definition of intelligence, but everyone agrees that the ability of learning belongs to it.","there is no universal definition of intelligence, but everyone agrees that the ability of learning belongs to it.",there is no universal definition of inteligence but everyone agres that the ability of learning belongs to it,0.1111111111111111,0.018018018018018018,0.1111111111111111,0.018018018018018018,0.1111111111111111,0.018018018018018018,
/content/2/cv-other-test/cv-other-test/sample-000018.mp3,he don't seem like a guy that'd fall into line, you don't seem like a guy that had fallen to line.,he doesn't seem like a guy that would fall into line.,he don't sem like a guy that hoad falen to line,0.6,0.21739130434782608,0.4,0.17391304347826086,0.5,0.1956521739130435,
/content/2/cv-other-test/cv-other-test/sample-000019.mp3,who did you talk to, who did you talk to?,who did you talk to?,who did you talk to,0.2,0.05263157894736842,0.2,0.05263157894736842,0.0,0.0,
/content/2/cv-other-test/cv-other-test/sample-000020.mp3,have her call me back, have a call me back.,tell her call me back!,have woat cal me back,0.4,0.19047619047619047,0.4,0.23809523809523808,0.4,0.23809523809523808,
/content/2/cv-other-test/cv-other-test/sample-000021.mp3,he became friendly with the camel driver who traveled alongside him, he became friendly with the camera driver who travelled alongside him.,he became friendly with the camel driver who traveled alongside him.,he became friendly with the camel driver who traveled alongside him,0.2727272727272727,0.05970149253731343,0.09090909090909091,0.014925373134328358,0.0,0.0,
